station,lat,lon,hp,country,fog,visibility,datetime
BOGUCAR,4993,4056,83.57,Russian Federation,47,200 m,2025112306
CHAPAEVO,5020,5116,17,Kazakhstan,47,200 m,2025112306
UZHHOROD,4863,2225,124,Ukraine,45,800 m,2025112306
PERELJUB,5186,5033,71.24,Russian Federation,45,500 m,2025112306
GUDERMES,4335,4611,75,Russian Federation,45,500 m,2025112306
KIROVOHRAD,4853,3228,171,Ukraine,45,600 m,2025112306
ZHALPAKTAL,4966,4948,10,Kazakhstan,45,200 m,2025112306
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,200 m,2025112306
MARSABIT,233,3798,0,Kenya,42,300 m,2025112306
NIZHNY-CHIR,4833,4311,74.2,Russian Federation,45,500 m,2025112306
POLTAVA,4960,3453,160,Ukraine,45,200 m,2025112306
ARAUCANIA,-3893,28735,0,Chile,47,500 m,2025112306
GROZNYJ,4325,4571,257.57,Russian Federation,45,500 m,2025112306
ORENBURG,5168,5506,117.51,Russian Federation,45,500 m,2025112306
KHUDJANT,4021,6973,427,Tajikistan,43,100 m,2025112306
CERNYJ JAR,4806,4611,5.36,Russian Federation,45,500 m,2025112306
ELISTA,4630,4418,197.2,Russian Federation,45,50 m,2025112306
AKIM ODA,593,-29634,0,Ghana,46,200 m,2025112306
CAHUL,4590,2818,113,Republic of Moldova,45,200 m,2025112306
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025112306
MOUYONDZI,-400,1395,512,Congo,46,300 m,2025112306
"EUGENE/MAHLON SWEET, OR.",4411,23679,114,United States of America,41,400 m,2025112306
SYR-DAR'JA,4081,6868,263,Uzbekistan,45,50 m,2025112306
LEOVA,4646,2825,156,Republic of Moldova,47,500 m,2025112306
PROHLADNAYA,4375,4405,199.94,Russian Federation,43,500 m,2025112306
GORZOW WLKP,5273,1526,72.55,Poland,48,600 m,2025112306
MALINOVKA,4978,12991,115.6,Russian Federation,46,500 m,2025112306
STEFAN-VODA,4650,2965,173,Republic of Moldova,45,200 m,2025112306
NIKEL',6940,3020,92.1,Russian Federation,11,20 km,2025112306
35777,4683,6833,,,45,500 m,2025112306
16779,3766,2633,,,41,,2025112306
KARABULAK,5233,4636,301.72,Russian Federation,45,200 m,2025112306
YASHKUL',4618,4535,-6.71,Russian Federation,45,500 m,2025112306
POCHINOK,5441,3243,201.2,Russian Federation,47,500 m,2025112306
SHARDARA,4123,6796,275,Kazakhstan,45,200 m,2025112306
ERSHOV,5136,4830,110.99,Russian Federation,45,500 m,2025112306
TAGANROG,4720,3890,32.03,Russian Federation,45,200 m,2025112306
KELLE,6,1451,408,Congo,42,600 m,2025112306
SENNO,5480,2968,175.5,Belarus,43,600 m,2025112306
KOMRAT,4628,2863,133,Republic of Moldova,47,500 m,2025112306
MOURGASH,4283,2366,1692,Bulgaria,45,100 m,2025112306
ZILAIR,5223,5746,520.88,Russian Federation,45,500 m,2025112306
LIUBASHIVKA,4785,3026,183,Ukraine,45,200 m,2025112306
SVITLOVODS'K,4906,3323,84,Ukraine,45,200 m,2025112306
VITEBSK,5525,3023,175.8,Belarus,49,600 m,2025112306
BALASHOV,5155,4315,158.66,Russian Federation,45,500 m,2025112306
ODESA,4643,3076,42,Ukraine,45,100 m,2025112306
MILLEROVO,4893,4038,155.07,Russian Federation,44,500 m,2025112306
LEPEL,5486,2870,174.2,Belarus,47,200 m,2025112306
KAJRAKKUMSKOE VODOHRANILISHCHE,4026,6981,347,Tajikistan,44,500 m,2025112306
SOROCHINSK,5243,5313,122.95,Russian Federation,45,500 m,2025112306
TAIPAK,4905,5186,2,Kazakhstan,45,200 m,2025112306
BUDENNOVSK,4478,4413,135.87,Russian Federation,44,200 m,2025112306
RAZGRAD,4356,2650,347,Bulgaria,45,100 m,2025112306
PORT KEATS AIRPORT,-1423,12951,29,Australia,41,,2025112306
CORNESTI,4735,2800,232,Republic of Moldova,45,200 m,2025112306
UTTA,4636,4601,-7.05,Russian Federation,45,500 m,2025112306
URJUPINSK,5080,4200,105.65,Russian Federation,45,500 m,2025112306
KOTEL'NIKOVO,4763,4315,46.94,Russian Federation,45,500 m,2025112306
MAKABANA,-348,1261,161,Congo,42,200 m,2025112306
EJSK,4680,3826,2.53,Russian Federation,44,200 m,2025112306
SOKODE,898,115,387,Togo,46,200 m,2025112306
OZINKI,5120,4973,103.91,Russian Federation,45,500 m,2025112306
ESENGULY,3746,5396,-22,Turkmenistan,44,500 m,2025112306
KOPAONIK,4328,2080,1713,Serbia,45,200 m,2025112306
KRYVYI RIH,4805,3320,124,Ukraine,45,300 m,2025112306
CRNI VRH,4411,2195,1039,Serbia,49,100 m,2025112306
MIKOLAJKI,5378,2158,128.44,Poland,43,300 m,2025112306
VERHNIJ BASKUNCHAK,4821,4673,34.56,Russian Federation,45,200 m,2025112306
TAZOVSKIJ,6746,7873,27.59,Russian Federation,49,500 m,2025112306
AKSAKOVO,5401,5413,355.58,Russian Federation,45,500 m,2025112306
DIVNOE,4591,4335,86.41,Russian Federation,47,200 m,2025112306
SREDNIKAN,6245,15231,260,Russian Federation,41,1000 m,2025112306
CHERNIVTSI,4825,2596,246,Ukraine,47,200 m,2025112306
VELIZH,5561,3118,166.1,Russian Federation,44,500 m,2025112306
TOROPEC,5648,3163,187,Russian Federation,45,500 m,2025112303
EL'TON,4913,4685,5.78,Russian Federation,45,500 m,2025112303
BATCHELOR AERO,-1305,13101,105,Australia,41,,2025112303
KOMSOMOL' SKIJ,4535,4603,-1.66,Russian Federation,45,500 m,2025112303
BALKASINO,5251,6873,398,Kazakhstan,45,500 m,2025112303
AKTION (AIRPORT),3891,2076,3.94,Greece,41,,2025112303
VARANASI/BABATPUR,2543,8285,89,India,12,500 m,2025112303
BAGUIO,1640,12060,1501,Philippines,40,12 km,2025112303
36874,4348,7626,,,45,500 m,2025112303
JHELUM,3293,7371,234,Pakistan,42,500 m,2025112303
YUSTA,4713,4631,2.6,Russian Federation,45,500 m,2025112303
KASTORIA (AIRPORT),4043,2126,658.68,Greece,41,,2025112303
"ANCHORAGE/INT., AK",6115,21002,43.8,United States of America,41,400 m,2025112303
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,600 m,2025112303
FURSATGANJ,2625,8136,116,India,42,500 m,2025112303
CELNO-VERSINY,5441,5110,157.71,Russian Federation,45,800 m,2025112303
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,200 m,2025112303
KIROVOHRAD,4853,3228,171,Ukraine,45,800 m,2025112303
PERELJUB,5186,5033,71.24,Russian Federation,45,500 m,2025112303
GUDERMES,4335,4611,75,Russian Federation,45,500 m,2025112303
38203,4376,7093,,,45,500 m,2025112303
BHAIRAWA AIRPORT,2751,8345,109,Nepal,40,500 m,2025112303
AMBIKAPUR,2316,8325,611,India,42,500 m,2025112303
KAZANSKAJA,4980,4115,71.51,Russian Federation,47,500 m,2025112303
KHUDJANT,4021,6973,427,Tajikistan,47,below 100 m,2025112303
ORENBURG,5168,5506,117.51,Russian Federation,47,500 m,2025112303
ALEKSANDROV-GAJ,5015,4855,24.72,Russian Federation,45,500 m,2025112303
GROZNYJ,4325,4571,257.57,Russian Federation,45,500 m,2025112303
DOUGLAS RIVER,-1383,13118,44.2,Australia,41,,2025112303
POLTAVA,4960,3453,160,Ukraine,45,200 m,2025112303
36796,4551,8060,,,49,200 m,2025112303
35605,4768,5158,,,45,500 m,2025112303
CAHUL,4590,2818,113,Republic of Moldova,47,200 m,2025112303
ELISTA,4630,4418,197.2,Russian Federation,45,500 m,2025112303
KRASNYJ KUT,5095,4696,50.41,Russian Federation,45,500 m,2025112303
GAYA (42591-0),2475,8495,116,India,11,1000 m,2025112303
36953,4271,8018,,,45,200 m,2025112303
SYR-DAR'JA,4081,6868,263,Uzbekistan,45,50 m,2025112303
"EUGENE/MAHLON SWEET, OR.",4411,23679,114,United States of America,41,400 m,2025112303
RUDNYA,5083,4456,114.59,Russian Federation,47,500 m,2025112303
ANDIZAN,4073,7231,475,Uzbekistan,46,500 m,2025112303
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025112303
NIKEL',6940,3020,92.1,Russian Federation,11,20 km,2025112303
SUPAUL,2613,8658,49.6,India,41,500 m,2025112303
STEFAN-VODA,4650,2965,173,Republic of Moldova,45,500 m,2025112303
MALINOVKA,4978,12991,115.6,Russian Federation,40,10 km,2025112303
NOONAMAH AIRSTRIP,-1260,13103,18.9,Australia,41,,2025112303
DANG,2803,8248,634,Nepal,45,200 m,2025112303
ERSHOV,5136,4830,110.99,Russian Federation,45,400 m,2025112303
CEAHLAU TOACA,4696,2595,1898.3,Romania,45,50 m,2025112303
PATIALA,3033,7646,252,India,44,500 m,2025112303
VOLGOGRAD,4878,4436,134,Russian Federation,45,300 m,2025112303
BAREILLY,2836,7940,169,India,42,500 m,2025112303
YASHKUL',4618,4535,-6.71,Russian Federation,45,200 m,2025112303
KARABULAK,5233,4636,301.72,Russian Federation,45,200 m,2025112303
TRIPOLIS (AIRPORT),3751,2238,651.3,Greece,41,,2025112303
KOKAND,4055,7095,399,Uzbekistan,47,200 m,2025112303
LIDA,5390,2531,156.6,Belarus,49,700 m,2025112303
KAMYSIN,5008,4536,118.66,Russian Federation,45,200 m,2025112303
BUGURUSLAN,5361,5245,92.36,Russian Federation,45,500 m,2025112303
LIUBASHIVKA,4785,3026,183,Ukraine,45,300 m,2025112303
ZAVIZAN,4480,1496,1597.92,Croatia,49,below 100 m,2025112303
ZILAIR,5223,5746,520.88,Russian Federation,47,500 m,2025112303
REWA,2453,8130,299,India,42,500 m,2025112303
BHUBANESHWAR,2025,8583,49.4,India,40,1000 m,2025112303
KOLKATA/DUM DUM,2265,8845,6.1,India,11,500 m,2025112303
DIPAYAL,2925,8093,617,Nepal,47,800 m,2025112303
SOROCHINSK,5243,5313,122.95,Russian Federation,45,500 m,2025112303
KAJRAKKUMSKOE VODOHRANILISHCHE,4026,6981,347,Tajikistan,44,500 m,2025112303
ODESA,4643,3076,42,Ukraine,45,200 m,2025112303
VITEBSK,5525,3023,175.8,Belarus,49,300 m,2025112303
EJSK,4680,3826,2.53,Russian Federation,47,200 m,2025112303
UTTA,4636,4601,-7.05,Russian Federation,45,200 m,2025112303
CORNESTI,4735,2800,232,Republic of Moldova,47,200 m,2025112303
PORT KEATS AIRPORT,-1423,12951,29,Australia,41,,2025112303
MOROZOVSK,4835,4186,89.76,Russian Federation,45,500 m,2025112303
DANILOVKA,5036,4411,101.79,Russian Federation,45,500 m,2025112303
BUDENNOVSK,4478,4413,135.87,Russian Federation,45,200 m,2025112303
38202,4373,6991,,,45,500 m,2025112303
SURKHET,2858,8163,670,Nepal,42,600 m,2025112303
ILOVLYA,4930,4400,44.37,Russian Federation,43,500 m,2025112303
POZNAN,5241,1683,88,Poland,43,600 m,2025112303
CRNI VRH,4411,2195,1039,Serbia,49,100 m,2025112303
38584,4080,6816,,,44,500 m,2025112303
KOTA AERODROME,2515,7585,279,India,44,500 m,2025112303
KOPAONIK,4328,2080,1713,Serbia,45,100 m,2025112303
ESENGULY,3746,5396,-22,Turkmenistan,44,500 m,2025112303
AMRITSAR,3163,7486,234,India,12,500 m,2025112303
OZINKI,5120,4973,103.91,Russian Federation,45,500 m,2025112303
DHUBRI,2601,8998,35.1,India,11,2000 m,2025112303
BOKOVSKAJA,4921,4183,91.12,Russian Federation,45,500 m,2025112303
VERHNIJ BASKUNCHAK,4821,4673,34.56,Russian Federation,43,500 m,2025112303
MANDI,3171,7696,761,India,47,200 m,2025112303
DIYARBAKIR,3788,4020,674,Turkey,41,2500 m,2025112303
LUDHIANA,3086,7593,255,India,44,500 m,2025112303
CONSTANTA,4420,2863,14,Romania,44,500 m,2025112303
AKSAKOVO,5401,5413,355.58,Russian Federation,45,500 m,2025112303
SATNA,2456,8083,316,India,41,500 m,2025112303
VELIZH,5561,3118,166.1,Russian Federation,44,500 m,2025112303
NEW DELHI/SAFDARJUNG,2858,7720,216,India,11,500 m,2025112303
NEW DELHI/PALAM,2856,7711,226,India,11,500 m,2025112303
